Raza,Sexo,Peso,Largo,Cintura,Color,Talla,Edad,Reporte,Equipo,Fecha,Error,Tiempo
americano,hembra,858.24,28,20,blanco,sano,30,Ser. No.: 6543BF2-X - Date: 2024-02-19 11:13:17.113 - Status: OK,1,2024-02-19T16:13:17Z,FALSE,8.595166663328806
andino,hembra,826.81,NA,NA,blanco,NA,51,Ser. No.: 6543BF2-X - Date: 2024-02-19 11:26:04.496 - Status: OK,1,2024-02-19T16:26:04Z,FALSE,12.789716668923695
peruano,macho,823.66,25,NA,marrón,NA,11,Ser. No.: 6543BF2-X - Date: 2024-02-19 11:32:50.417 - Status: OK,1,2024-02-19T16:32:50Z,FALSE,6.765350000063578
andino,hembra,559.35,NA,17,blanco,sano,57,Ser. No.: 6543BF2-X - Date: 2024-02-19 12:02:39.849 - Status: OK,1,2024-02-19T17:02:39Z,FALSE,29.82386666536331
peruano,hembra,719.74,NA,18,negro,sano,64,Ser. No.: 6543BF2-X - Date: 2024-02-19 13:04:07.101 - Status: OK,1,2024-02-19T18:04:07Z,FALSE,NA
peruano,macho,NA,28,19,marrón,NA,61,Ser. No.: 6543BF2-X - Date: 2024-02-19 13:16:04.78 - Status: OK,1,2024-02-19T18:16:04Z,FALSE,11.961316665013632
peruano,macho,805.25,27,NA,negro,NA,26,Ser. No.: 6543BF2-X - Date: 2024-02-19 13:17:46.272 - Status: OK,1,2024-02-19T18:17:46Z,FALSE,1.691533335049947
peruano,macho,815.97,29,21,blanco,sano,44,Ser. No.: 6543BF2-X - Date: 2024-02-19 13:18:38.533 - Status: OK,1,2024-02-19T18:18:38Z,FALSE,0.8710166652997334
peruano,hembra,812.92,NA,NA,blanco,NA,23,Ser. No.: 6543BF2-X - Date: 2024-02-19 13:22:02.076 - Status: OK,1,2024-02-19T18:22:02Z,FALSE,3.392383333047231
andino,hembra,862.77,23,17,tricolor,gordo,38,Ser. No.: 6543BF2-X - Date: 2024-02-19 13:26:21.377 - Status: OK,1,2024-02-19T18:26:21Z,FALSE,4.32168333530426
peruano,hembra,659.61,28,NA,pintado,NA,47,Ser. No.: 6543BF2-X - Date: 2024-02-19 13:28:14.678 - Status: OK,1,2024-02-19T18:28:14Z,FALSE,1.888349997997284
peruano,hembra,614.72,22,17,blanco,sano,55,Ser. No.: 6543BF2-X - Date: 2024-02-19 13:33:11.782 - Status: OK,1,2024-02-19T18:33:11Z,FALSE,4.951733334859212
peruano,macho,933.5,22,19,negro,gordo,16,Ser. No.: 6543BF2-X - Date: 2024-02-19 13:37:53.705 - Status: OK,1,2024-02-19T18:37:53Z,FALSE,4.69871666431427
andino,macho,778,NA,NA,rojizo,NA,30,Ser. No.: 6543BF2-X - Date: 2024-02-19 13:39:39.873 - Status: OK,1,2024-02-19T18:39:39Z,FALSE,1.7694666663805645
andino,macho,NA,23,NA,negro,NA,61,Ser. No.: 6543BF2-X - Date: 2024-02-19 13:40:28.422 - Status: OK,1,2024-02-19T18:40:28Z,FALSE,0.8091500004132589
andino,macho,639.93,22,17,blanco,sano,28,Ser. No.: 6543BF2-X - Date: 2024-02-19 13:50:03.885 - Status: OK,1,2024-02-19T18:50:03Z,FALSE,9.591050000985463
andino,macho,768.09,27,17,blanco,gordo,34,Ser. No.: 6543BF2-X - Date: 2024-02-19 13:50:36.597 - Status: OK,1,2024-02-19T18:50:36Z,FALSE,0.5451999982198079
peruano,hembra,670.95,30,16,marrón,gordo,35,Ser. No.: 6543BF2-X - Date: 2024-02-19 14:11:42.965 - Status: OK,1,2024-02-19T19:11:42Z,FALSE,21.10613333384196
andino,hembra,772.2,22,16,rojizo,gordo,34,Ser. No.: 6543BF2-X - Date: 2024-02-19 14:12:07.162 - Status: OK,1,2024-02-19T19:12:07Z,FALSE,0.4032833337783813
andino,macho,723.18,32,NA,negro,NA,54,Ser. No.: 6543BF2-X - Date: 2024-02-19 14:16:24.292 - Status: OK,1,2024-02-19T19:16:24Z,FALSE,4.285500001907349
peruano,macho,820.06,NA,NA,pintado,NA,23,Ser. No.: 6543BF2-X - Date: 2024-02-19 14:21:41.834 - Status: OK,1,2024-02-19T19:21:41Z,FALSE,5.292366667588552
peruano,macho,1016.6,32,20,negro,gordo,14,Ser. No.: 6543BF2-X - Date: 2024-02-19 14:22:29.536 - Status: OK,1,2024-02-19T19:22:29Z,FALSE,0.795033331712087
peruano,macho,1031.24,23,20,marrón,gordo,35,Ser. No.: 6543BF2-X - Date: 2024-02-19 14:23:42.298 - Status: OK,1,2024-02-19T19:23:42Z,FALSE,1.2127000013987224
peruano,hembra,531.43,22,NA,blanco,NA,59,Ser. No.: 6543BF2-X - Date: 2024-02-19 14:25:44.997 - Status: OK,1,2024-02-19T19:25:44Z,FALSE,2.0449833313624066
andino,macho,864.99,NA,19,blanco,sano,13,Ser. No.: 6543BF2-X - Date: 2024-02-19 14:26:10.792 - Status: OK,1,2024-02-19T19:26:10Z,FALSE,0.4299166679382324
andino,macho,902.12,26,NA,negro,NA,43,Ser. No.: 6543BF2-X - Date: 2024-02-19 14:30:18.318 - Status: OK,1,2024-02-19T19:30:18Z,FALSE,4.1254333337148035
andino,macho,630.03,26,19,rojizo,sano,31,Ser. No.: 6543BF2-X - Date: 2024-02-19 14:39:00.103 - Status: OK,1,2024-02-19T19:39:00Z,FALSE,8.696416664123536
peruano,macho,906.46,NA,19,blanco,sano,23,Ser. No.: 6543BF2-X - Date: 2024-02-19 14:54:59.026 - Status: OK,1,2024-02-19T19:54:59Z,FALSE,15.982050001621246
peruano,hembra,726.5,25,20,blanco,sano,25,Ser. No.: 6543BF2-X - Date: 2024-02-19 15:02:16.581 - Status: OK,1,2024-02-19T20:02:16Z,FALSE,7.292583334445953
peruano,macho,NA,22,NA,negro,NA,32,Ser. No.: 6543BF2-X - Date: 2024-02-19 15:04:21.156 - Status: OK,1,2024-02-19T20:04:21Z,FALSE,2.0762499968210855
peruano,macho,692.04,31,19,blanco,sano,21,Ser. No.: 6543BF2-X - Date: 2024-02-19 15:10:56.304 - Status: OK,1,2024-02-19T20:10:56Z,FALSE,6.58580000003179
peruano,macho,761.84,26,21,marrón,sano,59,Ser. No.: 6543BF2-X - Date: 2024-02-19 15:12:44.749 - Status: OK,1,2024-02-19T20:12:44Z,FALSE,1.8074166695276896
peruano,macho,937.15,NA,NA,blanco,NA,11,Ser. No.: 6543BF2-X - Date: 2024-02-19 15:14:04.824 - Status: OK,1,2024-02-19T20:14:04Z,FALSE,1.334583330154419
andino,macho,958.13,26,NA,blanco,NA,64,Ser. No.: 6543BF2-X - Date: 2024-02-19 15:30:26.464 - Status: OK,1,2024-02-19T20:30:26Z,FALSE,16.36066666841507
peruano,macho,534.97,28,17,blanco,sano,40,Ser. No.: 6543BF2-X - Date: 2024-02-19 15:30:48.492 - Status: OK,1,2024-02-19T20:30:48Z,FALSE,0.3671333352724711
abisinio,macho,NA,NA,16,marrón oscuro,NA,30,Ser. No.: 6543BF2-X - Date: 2024-02-19 15:33:35.039 - Status: OK,1,2024-02-19T20:33:35Z,FALSE,2.775783332188924
peruano,macho,776.07,21,21,marrón,sano,64,Ser. No.: 6543BF2-X - Date: 2024-02-19 15:35:09.281 - Status: OK,1,2024-02-19T20:35:09Z,FALSE,1.5706999977429708
peruano,macho,761.69,NA,20,blanco,sano,34,Ser. No.: 6543BF2-X - Date: 2024-02-19 15:37:11.93 - Status: OK,1,2024-02-19T20:37:11Z,FALSE,2.0441500027974446
americano,macho,755.53,24,NA,blanco,NA,14,Ser. No.: 6543BF2-X - Date: 2024-02-19 15:40:09.427 - Status: OK,1,2024-02-19T20:40:09Z,FALSE,2.958283332983653
peruano,macho,822.4,23,NA,negro,NA,49,Ser. No.: 6543BF2-X - Date: 2024-02-19 15:43:06.049 - Status: OK,1,2024-02-19T20:43:06Z,FALSE,2.9436999996503195
peruano,hembra,511.76,24,18,blanco,sano,46,Ser. No.: 6543BF2-X - Date: 2024-02-19 15:47:11.349 - Status: OK,1,2024-02-19T20:47:11Z,FALSE,4.088333332538605
peruano,macho,795.5,28,20,blanco,sano,19,Ser. No.: 6543BF2-X - Date: 2024-02-19 15:52:13.252 - Status: OK,1,2024-02-19T20:52:13Z,FALSE,5.031716668605805
peruano,macho,926.07,33,NA,blanco,NA,53,Ser. No.: 6543BF2-X - Date: 2024-02-19 16:10:17.151 - Status: OK,1,2024-02-19T21:10:17Z,FALSE,18.064983332157137
híbrido,macho,717.88,28,20,tricolor,sano,37,Ser. No.: 6543BF2-X - Date: 2024-02-19 16:15:43.377 - Status: OK,1,2024-02-19T21:15:43Z,FALSE,5.437100001176199
híbrido,macho,1225.75,36,21,pintado,gordo,40,Ser. No.: 6543BF2-X - Date: 2024-02-19 16:17:18.453 - Status: OK,1,2024-02-19T21:17:18Z,FALSE,1.584599999586741
peruano,macho,803.07,28,19,blanco,sano,41,Ser. No.: 6543BF2-X - Date: 2024-02-19 16:21:09.608 - Status: OK,1,2024-02-19T21:21:09Z,FALSE,3.852583332856496
peruano,hembra,NA,NA,18,marrón,NA,21,Ser. No.: 6543BF2-X - Date: 2024-02-19 16:22:14.412 - Status: OK,1,2024-02-19T21:22:14Z,FALSE,1.0800666650136312
andino,macho,966.52,27,17,blanco,gordo,59,Ser. No.: 6543BF2-X - Date: 2024-02-19 16:30:49.979 - Status: OK,1,2024-02-19T21:30:49Z,FALSE,8.592783335844675
andino,macho,859.61,25,NA,negro,NA,13,Ser. No.: 6543BF2-X - Date: 2024-02-19 16:31:53.908 - Status: OK,1,2024-02-19T21:31:53Z,FALSE,1.065483331680298
peruano,macho,872.86,NA,21,negro,sano,55,Ser. No.: 6543BF2-X - Date: 2024-02-19 16:43:00.428 - Status: OK,1,2024-02-19T21:43:00Z,FALSE,11.108666666348777
peruano,macho,884.93,28,NA,blanco,NA,50,Ser. No.: 6543BF2-X - Date: 2024-02-19 16:43:20.775 - Status: OK,1,2024-02-19T21:43:20Z,FALSE,0.33911666870117185
peruano,hembra,NA,25,18,blanco,NA,50,Ser. No.: 6543BF2-X - Date: 2024-02-19 16:44:26.4 - Status: OK,1,2024-02-19T21:44:26Z,FALSE,1.09375
peruano,macho,NA,NA,20,blanco,NA,27,Ser. No.: 6543BF2-X - Date: 2024-02-19 17:02:18.284 - Status: OK,1,2024-02-19T22:02:18Z,FALSE,17.864733330408733
peruano,hembra,706.15,NA,NA,blanco,NA,39,Ser. No.: 6543BF2-X - Date: 2024-02-20 08:07:52.407 - Status: OK,1,2024-02-20T13:07:52Z,FALSE,NA
abisinio,macho,675.1,25,16,gris,gordo,62,Ser. No.: 6543BF2-X - Date: 2024-02-20 08:14:28.287 - Status: OK,1,2024-02-20T13:14:28Z,FALSE,6.597999997933706
peruano,macho,682.48,NA,NA,pintado,NA,59,Ser. No.: 6543BF2-X - Date: 2024-02-20 08:33:12.785 - Status: OK,1,2024-02-20T13:33:12Z,FALSE,18.74163333574931
peruano,macho,724.48,NA,NA,negro,NA,47,Ser. No.: 6543BF2-X - Date: 2024-02-20 08:35:56.134 - Status: OK,1,2024-02-20T13:35:56Z,FALSE,2.7224833329518634
andino,macho,642.47,NA,18,negro,sano,38,Ser. No.: 6543BF2-X - Date: 2024-02-20 08:40:13.518 - Status: OK,1,2024-02-20T13:40:13Z,FALSE,4.289733330408732
andino,hembra,NA,24,15,tricolor,NA,36,Ser. No.: 6543BF2-X - Date: 2024-02-20 08:44:39.669 - Status: OK,1,2024-02-20T13:44:39Z,FALSE,4.435850000381469
peruano,hembra,677.35,25,19,marrón,sano,49,Ser. No.: 6543BF2-X - Date: 2024-02-20 08:45:59.015 - Status: OK,1,2024-02-20T13:45:59Z,FALSE,1.322433336575826
peruano,macho,794.61,23,19,blanco,sano,48,Ser. No.: 6543BF2-X - Date: 2024-02-20 08:48:55.572 - Status: OK,1,2024-02-20T13:48:55Z,FALSE,2.9426166653633117
peruano,macho,768.12,NA,20,negro,sano,63,Ser. No.: 6543BF2-X - Date: 2024-02-20 08:49:21.819 - Status: OK,1,2024-02-20T13:49:21Z,FALSE,0.43744999965031944
peruano,hembra,727.63,31,17,negro,sano,31,Ser. No.: 6543BF2-X - Date: 2024-02-20 08:53:05.667 - Status: OK,1,2024-02-20T13:53:05Z,FALSE,3.730800000826518
andino,macho,821.45,24,18,marrón,gordo,48,Ser. No.: 6543BF2-X - Date: 2024-02-20 08:54:50.924 - Status: OK,1,2024-02-20T13:54:50Z,FALSE,1.754283332824707
peruano,macho,796.41,28,NA,pintado,NA,57,Ser. No.: 6543BF2-X - Date: 2024-02-20 09:32:45.099 - Status: OK,1,2024-02-20T14:32:45Z,FALSE,37.902916665871935
peruano,macho,847.92,27,NA,negro,NA,53,Ser. No.: 6543BF2-X - Date: 2024-02-20 10:09:10.357 - Status: OK,1,2024-02-20T15:09:10Z,FALSE,36.4209666689237
andino,macho,679.87,NA,16,blanco,gordo,14,Ser. No.: 6543BF2-X - Date: 2024-02-20 10:14:20.125 - Status: OK,1,2024-02-20T15:14:20Z,FALSE,5.162799998124441
andino,macho,886.52,NA,19,rojizo,sano,36,Ser. No.: 6543BF2-X - Date: 2024-02-20 10:21:06.264 - Status: OK,1,2024-02-20T15:21:06Z,FALSE,6.768983332316081
peruano,macho,NA,23,20,negro,NA,34,Ser. No.: 6543BF2-X - Date: 2024-02-20 10:22:22.255 - Status: OK,1,2024-02-20T15:22:22Z,FALSE,1.266516669591268
abisinio,macho,578.55,22,17,marrón oscuro,sano,50,Ser. No.: 6543BF2-X - Date: 2024-02-20 10:25:32.41 - Status: OK,1,2024-02-20T15:25:32Z,FALSE,3.1692499995231627
abisinio,macho,511.37,23,NA,marrón oscuro,NA,24,Ser. No.: 6543BF2-X - Date: 2024-02-20 10:26:14.686 - Status: OK,1,2024-02-20T15:26:14Z,FALSE,0.7046000003814697
andino,hembra,803.33,22,NA,negro,NA,48,Ser. No.: 6543BF2-X - Date: 2024-02-20 10:27:30.838 - Status: OK,1,2024-02-20T15:27:30Z,FALSE,1.2691999991734824
andino,hembra,603.73,21,15,rojizo,gordo,22,Ser. No.: 6543BF2-X - Date: 2024-02-20 10:39:22.397 - Status: OK,1,2024-02-20T15:39:22Z,FALSE,11.85931666692098
híbrido,macho,1110.18,26,NA,tricolor,NA,25,Ser. No.: 6543BF2-X - Date: 2024-02-20 10:56:59.264 - Status: OK,1,2024-02-20T15:56:59Z,FALSE,17.61444999774297
peruano,hembra,680.76,24,19,pintado,sano,19,Ser. No.: 6543BF2-X - Date: 2024-02-20 11:01:00.563 - Status: OK,1,2024-02-20T16:01:00Z,FALSE,4.021650000413259
peruano,hembra,NA,26,NA,blanco,NA,57,Ser. No.: 6543BF2-X - Date: 2024-02-20 11:19:25.78 - Status: OK,1,2024-02-20T16:19:25Z,FALSE,18.42028333346049
peruano,macho,839.25,NA,19,blanco,sano,47,Ser. No.: 6543BF2-X - Date: 2024-02-20 11:22:59.857 - Status: OK,1,2024-02-20T16:22:59Z,FALSE,3.5679500023523967
híbrido,hembra,1586.41,NA,26,marrón,sano,18,Ser. No.: 6543BF2-X - Date: 2024-02-20 11:25:25.409 - Status: OK,1,2024-02-20T16:25:25Z,FALSE,2.425866663455963
andino,hembra,695.24,NA,17,blanco,sano,42,Ser. No.: 6543BF2-X - Date: 2024-02-20 11:39:43.744 - Status: OK,1,2024-02-20T16:39:43Z,FALSE,14.305583333969116
abisinio,macho,NA,21,NA,marrón oscuro,NA,59,Ser. No.: 6543BF2-X - Date: 2024-02-20 11:40:18.604 - Status: OK,1,2024-02-20T16:40:18Z,FALSE,0.5810000022252401
peruano,hembra,NA,26,NA,blanco,NA,48,Ser. No.: 6543BF2-X - Date: 2024-02-20 11:41:31.885 - Status: OK,1,2024-02-20T16:41:31Z,FALSE,1.2213499983151754
peruano,hembra,724.58,NA,19,marrón,sano,45,Ser. No.: 6543BF2-X - Date: 2024-02-20 11:41:54.446 - Status: OK,1,2024-02-20T16:41:54Z,FALSE,0.37601666847864784
peruano,hembra,471.36,24,17,pintado,sano,43,Ser. No.: 6543BF2-X - Date: 2024-02-20 11:43:10.582 - Status: OK,1,2024-02-20T16:43:10Z,FALSE,1.2689333319664002
abisinio,macho,NA,25,15,marrón oscuro,NA,29,Ser. No.: 6543BF2-X - Date: 2024-02-20 11:48:19.903 - Status: OK,1,2024-02-20T16:48:19Z,FALSE,5.155350001653035
peruano,macho,758.36,28,21,blanco,sano,30,Ser. No.: 6543BF2-X - Date: 2024-02-20 11:49:11.878 - Status: OK,1,2024-02-20T16:49:11Z,FALSE,0.8662499984105428
peruano,hembra,710.41,22,18,pintado,sano,51,Ser. No.: 6543BF2-X - Date: 2024-02-20 11:52:50.751 - Status: OK,1,2024-02-20T16:52:50Z,FALSE,3.647883331775666
peruano,hembra,624.72,NA,18,marrón,sano,49,Ser. No.: 6543BF2-X - Date: 2024-02-20 11:55:24.779 - Status: OK,1,2024-02-20T16:55:24Z,FALSE,2.5671333352724712
peruano,hembra,876.19,22,NA,pintado,NA,47,Ser. No.: 6543BF2-X - Date: 2024-02-20 12:02:50.849 - Status: OK,1,2024-02-20T17:02:50Z,FALSE,7.43449999888738
andino,macho,850.79,23,18,blanco,gordo,39,Ser. No.: 6543BF2-X - Date: 2024-02-20 13:02:07.949 - Status: OK,1,2024-02-20T18:02:07Z,FALSE,NA
andino,macho,770.51,25,17,blanco,gordo,32,Ser. No.: 6543BF2-X - Date: 2024-02-20 13:11:18.502 - Status: OK,1,2024-02-20T18:11:18Z,FALSE,9.175883336861927
americano,hembra,763.28,33,19,blanco,sano,16,Ser. No.: 6543BF2-X - Date: 2024-02-20 13:31:20.638 - Status: OK,1,2024-02-20T18:31:20Z,FALSE,20.035599998633067
híbrido,hembra,473.52,25,NA,tricolor,NA,61,Ser. No.: 6543BF2-X - Date: 2024-02-20 13:39:37.659 - Status: OK,1,2024-02-20T18:39:37Z,FALSE,8.283683331807454
andino,hembra,607.77,21,17,negro,sano,47,Ser. No.: 6543BF2-X - Date: 2024-02-20 13:40:12.881 - Status: OK,1,2024-02-20T18:40:12Z,FALSE,0.5870333353678385
peruano,macho,NA,32,19,marrón,NA,51,Ser. No.: 6543BF2-X - Date: 2024-02-20 13:54:09.688 - Status: OK,1,2024-02-20T18:54:09Z,FALSE,13.94678333202998
peruano,hembra,645.44,27,17,negro,sano,54,Ser. No.: 6543BF2-X - Date: 2024-02-20 13:56:52.877 - Status: OK,1,2024-02-20T18:56:52Z,FALSE,2.7198166688283285
peruano,macho,NA,28,19,blanco,NA,59,Ser. No.: 6543BF2-X - Date: 2024-02-20 13:59:13.962 - Status: OK,1,2024-02-20T18:59:13Z,FALSE,2.3514166633288065
andino,macho,626.28,25,17,marrón,sano,16,Ser. No.: 6543BF2-X - Date: 2024-02-20 14:14:07.547 - Status: OK,1,2024-02-20T19:14:07Z,FALSE,14.893083333969116
peruano,hembra,743.74,29,18,blanco,sano,48,Ser. No.: 6543BF2-X - Date: 2024-02-20 14:18:40.069 - Status: OK,1,2024-02-20T19:18:40Z,FALSE,4.54203333457311
andino,hembra,598.56,21,NA,blanco,NA,50,Ser. No.: 6543BF2-X - Date: 2024-02-20 14:21:03.198 - Status: OK,1,2024-02-20T19:21:03Z,FALSE,2.3854833324750264
peruano,macho,868.01,28,21,marrón,sano,63,Ser. No.: 6543BF2-X - Date: 2024-02-20 14:34:22.718 - Status: OK,1,2024-02-20T19:34:22Z,FALSE,13.325333333015442
andino,macho,776.89,26,NA,blanco,NA,46,Ser. No.: 6543BF2-X - Date: 2024-02-20 14:39:24.959 - Status: OK,1,2024-02-20T19:39:24Z,FALSE,5.037350002924601
peruano,macho,769.29,31,18,pintado,sano,62,Ser. No.: 6543BF2-X - Date: 2024-02-20 14:39:49.092 - Status: OK,1,2024-02-20T19:39:49Z,FALSE,0.40221666495005287
andino,macho,766.02,NA,17,marrón,gordo,13,Ser. No.: 6543BF2-X - Date: 2024-02-20 14:41:19.276 - Status: OK,1,2024-02-20T19:41:19Z,FALSE,1.5030666669209798
peruano,hembra,NA,24,NA,blanco,NA,35,Ser. No.: 6543BF2-X - Date: 2024-02-20 14:42:50.032 - Status: OK,1,2024-02-20T19:42:50Z,FALSE,1.5126000006993612
peruano,macho,647.42,28,19,blanco,sano,30,Ser. No.: 6543BF2-X - Date: 2024-02-20 14:46:37.154 - Status: OK,1,2024-02-20T19:46:37Z,FALSE,3.7853666663169863
peruano,macho,739.45,27,NA,pintado,NA,48,Ser. No.: 6543BF2-X - Date: 2024-02-20 14:56:04.23 - Status: OK,1,2024-02-20T19:56:04Z,FALSE,9.451266666253408
peruano,macho,975.09,NA,NA,blanco,NA,51,Ser. No.: 6543BF2-X - Date: 2024-02-20 15:09:54.328 - Status: OK,1,2024-02-20T20:09:54Z,FALSE,13.834966667493184
peruano,hembra,762.39,NA,20,blanco,sano,34,Ser. No.: 6543BF2-X - Date: 2024-02-20 15:13:13.536 - Status: OK,1,2024-02-20T20:13:13Z,FALSE,3.3201333324114484
andino,macho,682.68,29,NA,negro,NA,48,Ser. No.: 6543BF2-X - Date: 2024-02-20 15:15:23.732 - Status: OK,1,2024-02-20T20:15:23Z,FALSE,2.1699333349863688
peruano,hembra,766.74,24,19,negro,sano,31,Ser. No.: 6543BF2-X - Date: 2024-02-20 15:16:48.684 - Status: OK,1,2024-02-20T20:16:48Z,FALSE,1.4158666650454204
peruano,hembra,746.31,27,19,negro,sano,20,Ser. No.: 6543BF2-X - Date: 2024-02-20 15:19:29.003 - Status: OK,1,2024-02-20T20:19:29Z,FALSE,2.6719833334287006
peruano,macho,NA,25,19,blanco,NA,21,Ser. No.: 6543BF2-X - Date: 2024-02-20 15:22:00.655 - Status: OK,1,2024-02-20T20:22:00Z,FALSE,2.527533332506815
peruano,hembra,721.27,23,18,blanco,sano,50,Ser. No.: 6543BF2-X - Date: 2024-02-20 15:33:25.193 - Status: OK,1,2024-02-20T20:33:25Z,FALSE,11.408966668446858
andino,macho,845.64,28,NA,blanco,NA,65,Ser. No.: 6543BF2-X - Date: 2024-02-20 15:35:43.615 - Status: OK,1,2024-02-20T20:35:43Z,FALSE,2.307033332188924
andino,macho,749.36,22,NA,negro,NA,19,Ser. No.: 6543BF2-X - Date: 2024-02-20 15:35:51.048 - Status: OK,1,2024-02-20T20:35:51Z,FALSE,0.12388333479563396
peruano,macho,833.74,27,19,negro,sano,57,Ser. No.: 6543BF2-X - Date: 2024-02-20 15:36:06.388 - Status: OK,1,2024-02-20T20:36:06Z,FALSE,0.25566666523615517
peruano,macho,753.05,NA,20,blanco,sano,38,Ser. No.: 6543BF2-X - Date: 2024-02-20 15:38:57.446 - Status: OK,1,2024-02-20T20:38:57Z,FALSE,2.8509666681289674
peruano,hembra,658.47,27,NA,negro,NA,60,Ser. No.: 6543BF2-X - Date: 2024-02-20 15:46:56.157 - Status: OK,1,2024-02-20T20:46:56Z,FALSE,7.978516666094462
andino,macho,931.13,21,18,blanco,gordo,33,Ser. No.: 6543BF2-X - Date: 2024-02-20 15:54:28.105 - Status: OK,1,2024-02-20T20:54:28Z,FALSE,7.532466665903727
peruano,hembra,758.7,26,NA,pintado,NA,19,Ser. No.: 6543BF2-X - Date: 2024-02-20 16:03:01.089 - Status: OK,1,2024-02-20T21:03:01Z,FALSE,8.549733332792918
híbrido,macho,895.82,NA,17,tricolor,gordo,18,Ser. No.: 6543BF2-X - Date: 2024-02-20 16:06:37.091 - Status: OK,1,2024-02-20T21:06:37Z,FALSE,3.6000333348910014
